az,mail,site,name,address,phone,categories,rating,reviews,latitude,longitude,placeid,website,claimed,opening_hours,addr1,addr2,addr3,addr4,addr5,addr6,addr7,thumbnail,search_string,state,upname,similar
ChIJvzTPyDB-nkcRUFoGaM8BFag,info@abasto-hotel.de,http://www.abasto-hotel.de/,Abasto-Bar,"82216, Max-Rappenglitz-Ring 2, 82216 Maisach, Germany",+49 8142 50614395,Restaurant,4.4,60.0,48.2129669,11.2825136,ChIJvzTPyDB-nkcRUFoGaM8BFag,http://www.abasto-hotel.de/,yes,"Wednesday: 4PM–12AM, Thursday: 4PM–12AM, Friday: 4PM–12AM, Saturday: 4PM–12AM, Sunday: 4PM–12AM, Monday: 4PM–12AM, Tuesday: 4PM–12AM",,"82216, Max-Rappenglitz-Ring 2","82216, Max-Rappenglitz-Ring 2",Maisach,82216.0,,DE,https://lh5.googleusercontent.com/p/AF1QipMQW01HymmiY79GudOTkQTv24hdabEmTHUlACrW=w128-h86-k-no,restaurants,Bayern,ABASTO-BAR,0.4
ChIJj4SZiXJ2nkcRLPT0vIUqs7M,info@restaurant-teff.de,http://www.restaurant-teff.de/,Abyssinia Restaurant Teff,"Dachauer Str. 189, 80637 München, Germany",+49 1511 1772888,"Ethiopian restaurant, Restaurant",4.0,235.0,48.1602047,11.5460292,ChIJj4SZiXJ2nkcRLPT0vIUqs7M,http://www.restaurant-teff.de/,no,"Saturday: 11:30AM–10PM, Sunday: 11:30AM–10PM, Monday: 5–10PM, Tuesday: 5–10PM, Wednesday: 11:30AM–10PM, Thursday: 11:30AM–10PM, Friday: 11:30AM–10PM",Neuhausen-Nymphenburg,Dachauer Str. 189,Dachauer Str. 189,Munich,80637.0,,DE,https://lh5.googleusercontent.com/p/AF1QipP9ZD2XIn243gDSfwADOVP0qsz-D4YfaPEU4Oz0=w86-h114-k-no,"restaurants,",Bayern,ABYSSINIA RESTAURANT TEFF,0.5833333333333334
ChIJRyRXt1cEokcR16_THuZpAwc,info@acantus-hotel.de,http://www.acantus-hotel.de/,Acantus,"Ringstraße 13, 91085 Weisendorf, Germany",+49 9135 211660,"Restaurant, Beer garden, Event venue, Franconian restaurant, German restaurant, Inn, Takeout restaurant, Hotel, Wedding venue",4.5,420.0,49.634132,10.819890199999998,ChIJRyRXt1cEokcR16_THuZpAwc,http://www.acantus-hotel.de/,yes,,Oberlindach,Ringstraße 13,Ringstraße 13,Weisendorf,91085.0,,DE,//lh5.googleusercontent.com/proxy/K8Y41jbbSQNXc4ruMQ37CjxmYUMeshIHCFjptOepV9R2pn-B63IEJCU3VKSEgqGmle3QZ5dWlidhvpbuvoQf3AyNQ8jCsNxfSXCDbhN7aRKrZHZnuLzzWwNObuuxobpevK3lj11ggI-YMs4AXZMO0i5rQDi3tQ=w130-h86-k-no,"restaurants,",Bayern,ACANTUS,0.42857142857142855
ChIJ5SjWDj92nkcRFQLPvWngeJs,info@restaurant-acetaia.de,http://www.restaurant-acetaia.de/,Acetaia Restaurant,"Nymphenburger Str. 215, 80639 München, Germany",+49 89 13929077,"Italian restaurant, Restaurant",4.6,182.0,48.1580438,11.5270118,ChIJ5SjWDj92nkcRFQLPvWngeJs,http://www.restaurant-acetaia.de/,yes,"Wednesday: Closed, Thursday: 12–2:30PM, Friday: 12–2:30PM, Saturday: 6:30–10PM, Sunday: 12–2:30PM, Monday: 12–2:30PM, Tuesday: 12–2:30PM",Neuhausen-Nymphenburg,Nymphenburger Str. 215,Nymphenburger Str. 215,Munich,80639.0,,DE,https://lh5.googleusercontent.com/p/AF1QipMf6Xd9Gt-snKqeztmwLU8A-RiX0JXqSebSGWCM=w86-h129-k-no,restaurants,Bayern,ACETAIA RESTAURANT,0.4545454545454545
ChIJX47JaPgCokcR5w2aKk3Fsuw,info@ademsrestaurant.de,https://www.ademsrestaurant.de/,Adem's Turkish Kebab,"Im Gewerbepark 11, 91093 Heßdorf, Germany",+49 9135 735903,Restaurant,4.5,1375.0,49.6267793,10.925444699999998,ChIJX47JaPgCokcR5w2aKk3Fsuw,https://www.ademsrestaurant.de/,yes,"Saturday: 10AM–10PM, Sunday: 10AM–10PM, Monday: 10AM–10PM, Tuesday: 10AM–10PM, Wednesday: 10AM–10PM, Thursday: 10AM–10PM, Friday: 10AM–10PM",,Im Gewerbepark 11,Im Gewerbepark 11,Heßdorf,91093.0,,DE,https://lh5.googleusercontent.com/p/AF1QipPm2LFSlhPtdwr_Hx0ScVSs0nfAR41-aQM-BH8I=w114-h86-k-no,"restaurants,",Bayern,ADEM'S TURKISH KEBAB,0.32558139534883723
ChIJ5VeZTwsBokcRsYgdHJBEk6k,info@capri-hessdorf.de,http://s564298937.website-start.de/adria-herzogenaurach/,Adria Italienische Spezialitäten Pizzeria,"Bahnhofstraße 5, 91074 Herzogenaurach, Germany",+49 9132 7471455,Italian restaurant,4.2,57.0,49.5670215,10.8853503,ChIJ5VeZTwsBokcRsYgdHJBEk6k,http://s564298937.website-start.de/adria-herzogenaurach/,no,"Saturday: 11AM–2PM, Sunday: 11AM–2PM, Monday: 11AM–2PM, Tuesday: 11AM–2PM, Wednesday: 11AM–2PM, Thursday: 11AM–2PM, Friday: 11AM–2PM",,Bahnhofstraße 5,Bahnhofstraße 5,Herzogenaurach,91074.0,,DE,https://lh5.googleusercontent.com/p/AF1QipOzcHV_OSOrG2mxSsFfIap2q2l27HuRqZSPaosz=w114-h86-k-no,"restaurants,",Bayern,ADRIA ITALIENISCHE SPEZIALITÄTEN PIZZERIA,0.15873015873015872
ChIJpUuAaMSioUcRbmfHq2SjxPA,info@adria-bayreuth.de,http://adria-bayreuth.de/,Adria Pizzeria,"Carl-Schüller-Straße 16, 95444 Bayreuth, Germany",+49 921 27854,Italian restaurant,4.5,474.0,49.9489238,11.576758300000002,ChIJpUuAaMSioUcRbmfHq2SjxPA,http://adria-bayreuth.de/,no,"Wednesday: 11AM–2PM, Thursday: 11AM–2PM, Friday: 11AM–2PM, Saturday: 11AM–2PM, Sunday: 11AM–2PM, Monday: Closed, Tuesday: 5–10PM",Schießhaus,Carl-Schüller-Straße 16,Carl-Schüller-Straße 16,Bayreuth,95444.0,,DE,https://lh5.googleusercontent.com/p/AF1QipPannZxva-OK6Ny-qGk-_VI76keFKMX_yOhR7Cz=w86-h86-k-no-pi-0-ya153.25897-ro0-fo100,"restaurants near Bayreuth, Germany",Bayern,ADRIA PIZZERIA,0.2777777777777778
ChIJAWMJSCBQn0cRJQmwnK861m4,info@restaurantadria.com,http://www.restaurantadria.com/,Adria Restaurant,"Penzendorfer Str. 50, 91126 Schwabach, Germany",+49 9122 72143,Croatian restaurant,4.5,273.0,49.3292408,11.0395444,ChIJAWMJSCBQn0cRJQmwnK861m4,http://www.restaurantadria.com/,yes,"Wednesday: 5–10PM, Thursday: 5–10PM, Friday: 11:30AM–2PM, Saturday: 11:30AM–2PM, Sunday: 11:30AM–2PM, Monday: 5–10PM, Tuesday: Closed",,Penzendorfer Str. 50,Penzendorfer Str. 50,Schwabach,91126.0,,DE,https://lh5.googleusercontent.com/p/AF1QipOexGsWfeIGiq4R7Xy8r-xDy8zhuFb5HtN1NPeS=w126-h86-k-no,"restaurants,",Bayern,ADRIA RESTAURANT,0.5
ChIJY7HVezcbdkcRHC2aHQ-ya20,mail@example.com,https://hunger.jetzt/restaurants/392/Agrar%2080/20.html,AGRAR - Markt & Bar,"Ludwigspl. 11, 83022 Rosenheim, Germany",+49 8031 4010367,"Restaurant, Cafe, Deli",4.0,34.0,47.8564597,12.129468199999998,ChIJY7HVezcbdkcRHC2aHQ-ya20,https://hunger.jetzt/restaurants/392/Agrar%2080/20.html,yes,"Wednesday: 8AM–6PM, Thursday: 8AM–6PM, Friday: 8AM–6PM, Saturday: 7:30AM–5PM, Sunday: Closed, Monday: 8AM–6PM, Tuesday: 8AM–6PM",,Ludwigspl. 11,Ludwigspl. 11,Rosenheim,83022.0,,DE,https://lh5.googleusercontent.com/p/AF1QipOI-Pz3oyNBYktrmeGPojCg01MsUv7NxiEzcLYM=w149-h86-k-no,"restaurants near Rosenheim, Germany",Bayern,AGRAR - MARKT & BAR,0.11428571428571427
ChIJc_ZMgb2hnkcRu-MvZwbO0Ms,kontakt@eisbar-bobingen.de,http://www.ai-porteghi.de/,Ai Porteghi,"Bahnhofstraße 2B, 86399 Bobingen, Germany",+49 8234 904217,"Italian restaurant, Pizza restaurant",4.2,259.0,48.2679723,10.8306963,ChIJc_ZMgb2hnkcRu-MvZwbO0Ms,http://www.ai-porteghi.de/,no,"Wednesday: 11:30AM–2PM, Thursday: 11:30AM–2PM, Friday: 11:30AM–2PM, Saturday: 5–11PM, Sunday: 11:30AM–2PM, Monday: 11:30AM–2PM, Tuesday: Closed",,Bahnhofstraße 2B,Bahnhofstraße 2B,Bobingen,86399.0,,DE,https://lh5.googleusercontent.com/p/AF1QipMWQ2V4k90qfybiFNZyYgaN9pTrMAHKGMBAZRCJ=w114-h86-k-no,"restaurants,",Bayern,AI PORTEGHI,0.21621621621621626
ChIJfQkWHOVHvUcR8Kv_aOFZgtw,c.lunglai@aifood-ab.de,http://www.aifood.de/,aifood,"Steingasse 23, 63739 Aschaffenburg, Germany",+49 6021 5851128,"Asian restaurant, Chinese restaurant, Thai restaurant, Vietnamese restaurant",4.5,560.0,49.97561,9.14541,ChIJfQkWHOVHvUcR8Kv_aOFZgtw,http://www.aifood.de/,yes,"Wednesday: 11:30AM–3:30PM, Thursday: 11:30AM–3:30PM, Friday: 11:30AM–3:30PM, Saturday: 11:30AM–11PM, Sunday: Closed, Monday: 11:30AM–3:30PM, Tuesday: 11:30AM–3:30PM",Innenstadt,Steingasse 23,Steingasse 23,Aschaffenburg,63739.0,,DE,https://lh5.googleusercontent.com/p/AF1QipPZcG61DC6MQfKBPqAMNIA4o5x0i8D6ZJ3AcNSb=w176-h86-k-no,"restaurants near Aschaffenburg, Germany",Bayern,AIFOOD,0.42857142857142855
ChIJSRjmMmsTnkcRNoL43LuO5nc,reservierung@airbraeu.de,http://www.airbraeu.de/,Airbräu,"Terminalstraße Munich Airport Center - Ebene 03, 85356 München-Flughafen, Germany",+49 89 97593111,Restaurant,4.3,4240.0,48.3540349,11.787368699999998,ChIJSRjmMmsTnkcRNoL43LuO5nc,http://www.airbraeu.de/,yes,"Wednesday: 9AM–9PM, Thursday: 9AM–9PM, Friday: 9AM–9PM, Saturday: 9AM–9PM, Sunday: 9AM–9PM, Monday: 9AM–9PM, Tuesday: 9AM–9PM",,Terminalstraße Munich Airport Center - Ebene 03,Terminalstraße Munich Airport Center - Ebene 03,München-Flughafen,85356.0,,DE,https://lh5.googleusercontent.com/p/AF1QipPJooAgztk3s5OVz1RP0c9gUu6POsTKxM_jlUV0=w152-h86-k-no,"restaurants,",Bayern,AIRBRÄU,0.3225806451612903
ChIJQ0auKuQaokcR76FdmFmLJhQ,kontakt@aischblick.de,http://www.aischblick.de/,Aischblick Restaurant-Cafe,"Große Bauerngasse 88A, 91315 Höchstadt, Germany",+49 9193 698090,"Restaurant, Beer garden, Caterer",4.3,265.0,49.70236,10.82482,ChIJQ0auKuQaokcR76FdmFmLJhQ,http://www.aischblick.de/,yes,"Wednesday: 11AM–2PM, Thursday: 11AM–2PM, Friday: 11AM–2PM, Saturday: 11AM–2PM, Sunday: 11AM–2PM, Monday: Closed, Tuesday: Closed",,Große Bauerngasse 88A,Große Bauerngasse 88A,Höchstadt,91315.0,,DE,https://lh5.googleusercontent.com/p/AF1QipMbQ0c8ucuEl-lP-1aoFWhGa2o-LJD1AJvW0899=w114-h86-k-no,"restaurants,",Bayern,AISCHBLICK RESTAURANT-CAFE,0.425531914893617
ChIJ____2wvBn0cRRbv4p3NxlUY,regensburg@akakiko.de,http://www.akakiko.de/,AKAKIKO Regensburg,"Friedenstraße 23, 93053 Regensburg, Germany",+49 941 63082484,"Sushi restaurant, Japanese restaurant",3.5,294.0,49.0107128,12.1003889,ChIJ____2wvBn0cRRbv4p3NxlUY,http://www.akakiko.de/,yes,"Wednesday: 10:30AM–8:30PM, Thursday: 10:30AM–8:30PM, Friday: 10:30AM–8:30PM, Saturday: 10:30AM–8:30PM, Sunday: Closed, Monday: 10:30AM–8:30PM, Tuesday: 10:30AM–8:30PM",Galgenberg,Friedenstraße 23,Friedenstraße 23,Regensburg,93053.0,,DE,https://lh5.googleusercontent.com/p/AF1QipMSXXYvrsWgUb9wOHoLEuGuQlXiqkE5H178Kjp2=w94-h86-k-no,restaurants Regensburg,Bayern,AKAKIKO REGENSBURG,0.4615384615384616
ChIJgfElB9Fgn0cRPSEGY1CZyvs,info@bayern-lokal.de,https://bayern-lokal.de/akkols-restaurant,Akkol’s Restaurant,"Nürnberger Str. 8, 90518 Altdorf bei Nürnberg, Germany",+49 9187 959594,"Turkish restaurant, Caterer",4.5,404.0,49.38543410000001,11.352464900000001,ChIJgfElB9Fgn0cRPSEGY1CZyvs,https://bayern-lokal.de/akkols-restaurant,yes,"Wednesday: 11AM–10PM, Thursday: 11AM–10PM, Friday: 11AM–10PM, Saturday: 11AM–10PM, Sunday: 11AM–10PM, Monday: 11AM–10PM, Tuesday: 11AM–10PM",,Nürnberger Str. 8,Nürnberger Str. 8,Altdorf bei Nürnberg,90518.0,,DE,https://lh5.googleusercontent.com/p/AF1QipNkRpzfaOYBua6ZluJgtl8IN73KcfLgaUMUOYFD=w86-h114-k-no,"restaurants,",Bayern,AKKOL’S RESTAURANT,0.05263157894736842
ChIJw6PV-mH2oUcRZrOfzfkZNFY,kontakt@schlemmerbox24.de,http://www.akropolis-forchheim.de/,Akropolis Forchheim,"Wiesentstraße 11, 91301 Forchheim, Germany",+49 9191 704988,Greek restaurant,4.6,441.0,49.720620000000004,11.05982,ChIJw6PV-mH2oUcRZrOfzfkZNFY,http://www.akropolis-forchheim.de/,yes,"Wednesday: Closed, Thursday: 11:30AM–2PM, Friday: 11:30AM–2PM, Saturday: 11:30AM–2PM, Sunday: 11:30AM–2PM, Monday: 5:30–10PM, Tuesday: 5:30–10PM",,Wiesentstraße 11,Wiesentstraße 11,Forchheim,91301.0,,DE,https://lh5.googleusercontent.com/p/AF1QipNSOhgoukh44yqX4RuVMB0V5g7B-UJaL0S6Aj9m=w86-h176-k-no,"restaurants,",Bayern,AKROPOLIS FORCHHEIM,0.3181818181818182
ChIJCYrPcTQadkcRj8G52ug1Mmo,info@akropolis-rosenheim.de,http://www.akropolis-rosenheim.de/,Akropolis Gaststätte,"Münchener Str. 45, 83022 Rosenheim, Germany",+49 8031 31515,Greek restaurant,4.6,831.0,47.8525809,12.1188836,ChIJCYrPcTQadkcRj8G52ug1Mmo,http://www.akropolis-rosenheim.de/,yes,"Wednesday: 11AM–2PM, Thursday: 11AM–2PM, Friday: 11AM–2PM, Saturday: 11AM–2PM, Sunday: 11AM–2PM, Monday: 11AM–2PM, Tuesday: 11AM–2PM",,Münchener Str. 45,Münchener Str. 45,Rosenheim,83022.0,,DE,https://lh5.googleusercontent.com/p/AF1QipMen1yIQbAdmEA8uhOFqqTiy-m-VyPAgTJ24xDB=w86-h86-k-no-pi-0-ya326.84-ro0-fo100,"restaurants near Rosenheim, Germany",Bayern,AKROPOLIS GASTSTÄTTE,0.425531914893617
ChIJu2OJAshWn0cRZ1FKp4C0rFM,info@akropolis-Hotel-Restaurant.de,https://akropolis-hotel-restaurant.de/,akropolis • hotel • restaurant,"Herriedener Str. 38, 90449 Nürnberg, Germany",+49 911 674054,"Greek restaurant, Beer garden, Hotel, Parking lot, Restaurant",4.4,740.0,49.42,11.023611099999998,ChIJu2OJAshWn0cRZ1FKp4C0rFM,https://akropolis-hotel-restaurant.de/,yes,,West,Herriedener Str. 38,Herriedener Str. 38,Nuremberg,90449.0,,DE,https://lh5.googleusercontent.com/p/AF1QipOyFkp18hesSr0YWgVXi7GKCqDDCEEmgqOtD5sx=w114-h86-k-no,"restaurants,",Bayern,AKROPOLIS • HOTEL • RESTAURANT,0.6875
ChIJZWdLkAoXnEcRY0h0Yu43HlA,alaturqua.buchloe@gmail.com,https://alaturqua-buchloe.de/,Alaturqua Kebabhaus,"Hindenburgstraße 2A, 86807 Buchloe, Germany",+49 8241 9949892,Restaurant,4.5,235.0,48.03551029999999,10.7240839,ChIJZWdLkAoXnEcRY0h0Yu43HlA,https://alaturqua-buchloe.de/,yes,"Wednesday: 9:30AM–9PM, Thursday: 9:30AM–9PM, Friday: 9:30AM–9PM, Saturday: 9:30AM–9PM, Sunday: 9:30AM–9PM, Monday: 9:30AM–9PM, Tuesday: 9:30AM–9PM",,Hindenburgstraße 2A,Hindenburgstraße 2A,Buchloe,86807.0,,DE,https://lh5.googleusercontent.com/p/AF1QipPdgid-MSQx0k31dEDk2CMFno-p-32b5v3G4MF6=w114-h86-k-no,"restaurants,",Bayern,ALATURQUA KEBABHAUS,0.43478260869565216
ChIJBw_Mq8Xvn0cRQPdSUSr53Pk,restaurant.alavu@gmail.com,https://www.alavu-restaurant.de/,Alavu Vietnamesisches Restaurant,"Am Burghof 1, 93149 Nittenau, Germany",+49 9436 9038140,"Asian restaurant, Sushi restaurant, Vietnamese restaurant",4.8,199.0,49.1978204,12.2702532,ChIJBw_Mq8Xvn0cRQPdSUSr53Pk,https://www.alavu-restaurant.de/,yes,"Wednesday: 5–10PM, Thursday: 5–10PM, Friday: 5–10PM, Saturday: 5–10PM, Sunday: 11AM–2PM, Monday: Closed, Tuesday: 5–10PM",,Am Burghof 1,Am Burghof 1,Nittenau,93149.0,,DE,https://lh5.googleusercontent.com/p/AF1QipNYsKkqdTqqnUANlTcwZhWQKnJtno6ZEwCb32RM=w132-h86-k-no,"restaurants,",Bayern,ALAVU VIETNAMESISCHES RESTAURANT,0.3103448275862069
ChIJO0g5T3iEnEcRT6LR1QIBn70,Datenschutzbeauftragter@aldi-sued.de,https://www.aldi-sued.de/?pk_campaign=wvz&pk_source=Google&pk_keyword=D3179,ALDI SÜD,"Oberstdorfer Str. 12, 87527 Sonthofen, Germany",+49 800 8002534,"Supermarket, Discount supermarket",4.3,596.0,47.5090928,10.275315,ChIJO0g5T3iEnEcRT6LR1QIBn70,https://www.aldi-sued.de/?pk_campaign=wvz&pk_source=Google&pk_keyword=D3179,yes,"Saturday: 8AM–8PM, Sunday: Closed, Monday: 8AM–8PM, Tuesday: 8AM–8PM, Wednesday: 8AM–8PM, Thursday: 8AM–8PM, Friday: 8AM–8PM",,Oberstdorfer Str. 12,Oberstdorfer Str. 12,Sonthofen,87527.0,,DE,https://lh5.googleusercontent.com/p/AF1QipM0eri3_G6Ux1glZmKJMXJnaT-3sn0xGqjfxHuL=w152-h86-k-no,"restaurants near Sonthofen, Oberallgäu, Germany",Bayern,ALDI SÜD,0.045454545454545456
